"Freq [GHz]","dB(S(Port6,Port5)) []"
0.0001,-1.924067535727e-06
0.000100460655593623,-1.94183490295043e-06
0.000100923433223006,-1.95976633899373e-06
0.000101388342663425,-1.97786335881671e-06
0.000101855393735186,-1.99612748798679e-06
0.000102324596303834,-2.01456027714398e-06
0.00010279596028036,-2.03316327017796e-06
0.00010326949562141,-2.05193805437323e-06
0.000103745212329497,-2.070886207371e-06
0.000104223120453209,-2.09000932899207e-06
0.000104703230087426,-2.10930903834379e-06
0.000105185551373528,-2.12878696514117e-06
0.000105670094499614,-2.14844475838578e-06
0.000106156869700713,-2.16828407286518e-06
0.000106645887259005,-2.18830658651083e-06
0.000107137157504033,-2.20851399268347e-06
0.000107630690812924,-2.22890800017309e-06
0.00010812649761061,-2.24949033030598e-06
0.000108624588370042,-2.2702627198377e-06
0.000109124973612419,-2.29122692673905e-06
0.000109627663907405,-2.31238471958846e-06
0.000110132669873353,-2.33373789010826e-06
0.000110640002177531,-2.35528823677111e-06
0.000111149671536347,-2.37703758505086e-06
0.000111661688715573,-2.39898777295767e-06
0.000112176064530576,-2.42114064718068e-06
0.000112692809846542,-2.44349809105351e-06
0.000113211935578712,-2.46606198790981e-06
0.000113733452692604,-2.48883424133416e-06
0.000114257372204254,-2.51181677612638e-06
0.00011478370518044,-2.5350115373372e-06
0.000115312462738922,-2.55842048833963e-06
0.000115843656048673,-2.582045596364e-06
0.000116377296330119,-2.60588886142786e-06
0.000116913394855372,-2.62995230572831e-06
0.000117451962948468,-2.6542379514625e-06
0.000117993011985611,-2.6787478555434e-06
0.000118536553395407,-2.70348408838463e-06
0.000119082598659111,-2.72844874161506e-06
0.000119631159310867,-2.75364392036419e-06
0.000120182246937949,-2.77907175676272e-06
0.00012073587318101,-2.804734399335e-06
0.000121292049734329,-2.83063401010598e-06
0.00012185078834605,-2.85677278774515e-06
0.000122412100818441,-2.88315293381498e-06
0.000122975999008133,-2.90977667784353e-06
0.000123542494826378,-2.93664627153844e-06
0.000124111600239297,-2.96376398010798e-06
0.000124683327268135,-2.99113209672598e-06
0.000125257687989512,-3.01875293771018e-06
0.000125834694535679,-3.04662883191465e-06
0.000126414359094776,-3.07476213808766e-06
0.000126996693911089,-3.10315523233543e-06
0.000127581711285308,-3.13181051005081e-06
0.000128169423574784,-3.16073039362786e-06
0.000128759843193796,-3.1899173324619e-06
0.000129352982613809,-3.21937378366291e-06
0.000129948854363738,-3.24910224387838e-06
0.000130547471030214,-3.27910521747048e-06
0.000131148845257848,-3.30938524062426e-06
0.000131752989749501,-3.33994487941898e-06
0.000132359917266548,-3.37078670668428e-06
0.000132969640629152,-3.40191332996566e-06
0.000133582172716531,-3.43332738091687e-06
0.000134197526467233,-3.46503151722859e-06
0.000134815714879409,-3.49702841202082e-06
0.000135436751011084,-3.52932076541478e-06
0.000136060647980439,-3.56191131417626e-06
0.000136687418966081,-3.59480280857167e-06
0.000137317077207327,-3.62799802683302e-06
0.000137949636004483,-3.66149976937195e-06
0.000138585108719121,-3.69531087806625e-06
0.000139223508774364,-3.72943419768679e-06
0.000139864849655172,-3.76387261543492e-06
0.000140509144908622,-3.79862904358463e-06
0.000141156408144196,-3.8337064165895e-06
0.00014180665303407,-3.86910769494006e-06
0.000142459893313401,-3.90483587384273e-06
0.000143116142780619,-3.94089397068355e-06
0.000143775415297716,-3.97728503177851e-06
0.00014443772479054,-4.01401213044483e-06
0.00014510308524909,-4.05107836892969e-06
0.00014577151072781,-4.08848688323183e-06
0.000146443015345887,-4.12624082960096e-06
0.000147117613287549,-4.16434339900271e-06
0.000147795318802363,-4.20279781133263e-06
0.00014847614620554,-4.2416073144519e-06
0.000149160109878232,-4.28077518804459e-06
0.000149847224267841,-4.32030474361773e-06
0.00015053750388832,-4.36019931292933e-06
0.000151230963320483,-4.40046227788255e-06
0.000151927617212309,-4.44109702905961e-06
0.000152627480279256,-4.48210700236628e-06
0.000153330567304569,-4.52349566842423e-06
0.000154036893139592,-4.56526651907047e-06
0.000154746472704083,-4.60742308471523e-06
0.000155459320986529,-4.64996892469872e-06
0.000156175453044463,-4.69290764079169e-06
0.000156894884004779,-4.73624284922993e-06
0.000157617629064055,-4.77997821928742e-06
0.000158343703488876,-4.82411744338212e-06
0.000159073122616147,-4.86866425154091e-06
0.00015980590185343,-4.91362240657797e-06
0.000160542056679258,-4.95899570698775e-06
0.000161281602643469,-5.00478798598063e-06
0.000162024555367532,-5.05100311341163e-06
0.000162770930544876,-5.0976449938517e-06
0.000163520743941224,-5.14471756658773e-06
0.000164274011394923,-5.19222480465828e-06
0.000165030748817284,-5.24017072738978e-06
0.000165790972192909,-5.28855938593164e-06
0.000166554697580038,-5.33739486518494e-06
0.000167321941110883,-5.38668129248131e-06
0.00016809271899197,-5.43642282890406e-06
0.00016886704750448,-5.48662367893142e-06
0.000169644943004596,-5.53728808850788e-06
0.000170426421923846,-5.58842033057933e-06
0.00017121150076945,-5.64002473112985e-06
0.000172000196124671,-5.69210564121622e-06
0.000172792524649162,-5.74466746782646e-06
0.000173588503079322,-5.79771464880726e-06
0.000174388148228644,-5.85125166540028e-06
0.000175191476988075,-5.90528304802808e-06
0.000175998506326372,-5.95981335122164e-06
0.000176809253290458,-6.0148471864075e-06
0.000177623735005784,-6.07038920358552e-06
0.000178441968676691,-6.1264440913289e-06
0.000179263971586772,-6.18301659317775e-06
0.000180089761099238,-6.24011148063793e-06
0.000180919354657285,-6.29773357921787e-06
0.000181752769784461,-6.35588776071399e-06
0.000182590024085038,-6.41457893163875e-06
