"Freq [GHz]","dB(S(Port4,Port3)) []"
0.0001,-0.101041286029623
0.000100460655593623,-0.101041300636049
0.000100923433223006,-0.101041315378411
0.000101388342663425,-0.101041330257885
0.000101855393735186,-0.101041345275631
0.000102324596303834,-0.101041360433147
0.00010279596028036,-0.101041375731798
0.00010326949562141,-0.101041391172702
0.000103745212329497,-0.101041406757404
0.000104223120453209,-0.101041422486918
0.000104703230087426,-0.101041438363004
0.000105185551373528,-0.101041454386619
0.000105670094499614,-0.101041470559462
0.000106156869700713,-0.101041486883046
0.000106645887259005,-0.101041503358367
0.000107137157504033,-0.101041519987217
0.000107630690812924,-0.101041536770708
0.00010812649761061,-0.101041553710521
0.000108624588370042,-0.101041570808169
0.000109124973612419,-0.101041588064955
0.000109627663907405,-0.10104160548242
0.000110132669873353,-0.10104162306222
0.000110640002177531,-0.101041640805651
0.000111149671536347,-0.101041658714318
0.000111661688715573,-0.101041676789981
0.000112176064530576,-0.10104169503402
0.000112692809846542,-0.101041713447984
0.000113211935578712,-0.101041732033512
0.000113733452692604,-0.101041750792248
0.000114257372204254,-0.101041769725849
0.00011478370518044,-0.101041788835909
0.000115312462738922,-0.101041808124016
0.000115843656048673,-0.101041827592043
0.000116377296330119,-0.101041847241604
0.000116913394855372,-0.101041867074251
0.000117451962948468,-0.101041887091951
0.000117993011985611,-0.101041907296239
0.000118536553395407,-0.101041927688982
0.000119082598659111,-0.101041948271754
0.000119631159310867,-0.101041969046825
0.000120182246937949,-0.101041990015488
0.00012073587318101,-0.101042011179866
0.000121292049734329,-0.101042032541575
0.00012185078834605,-0.101042054102864
0.000122412100818441,-0.101042075865236
0.000122975999008133,-0.101042097830617
0.000123542494826378,-0.101042120001292
0.000124111600239297,-0.101042142378691
0.000124683327268135,-0.101042164965037
0.000125257687989512,-0.101042187762308
0.000125834694535679,-0.101042210772524
0.000126414359094776,-0.101042233997564
0.000126996693911089,-0.101042257439402
0.000127581711285308,-0.101042281100371
0.000128169423574784,-0.101042304982237
0.000128759843193796,-0.101042329087246
0.000129352982613809,-0.101042353417564
0.000129948854363738,-0.101042377975283
0.000130547471030214,-0.10104240276233
0.000131148845257848,-0.101042427781234
0.000131752989749501,-0.101042453033868
0.000132359917266548,-0.101042478522555
0.000132969640629152,-0.101042504249662
0.000133582172716531,-0.101042530217252
0.000134197526467233,-0.101042556427848
0.000134815714879409,-0.101042582883405
0.000135436751011084,-0.101042609586581
0.000136060647980439,-0.101042636539427
0.000136687418966081,-0.101042663744459
0.000137317077207327,-0.101042691204089
0.000137949636004483,-0.10104271892068
0.000138585108719121,-0.101042746896618
0.000139223508774364,-0.101042775134692
0.000139864849655172,-0.101042803636879
0.000140509144908622,-0.101042832405975
0.000141156408144196,-0.101042861444485
0.00014180665303407,-0.101042890754959
0.000142459893313401,-0.101042920340128
0.000143116142780619,-0.101042950202257
0.000143775415297716,-0.101042980344151
0.00014443772479054,-0.101043010768506
0.00014510308524909,-0.101043041478092
0.00014577151072781,-0.101043072475331
0.000146443015345887,-0.101043103763246
0.000147117613287549,-0.101043135344401
0.000147795318802363,-0.101043167221934
0.00014847614620554,-0.101043199398158
0.000149160109878232,-0.101043231876307
0.000149847224267841,-0.101043264658866
0.00015053750388832,-0.101043297749267
0.000151230963320483,-0.101043331150176
0.000151927617212309,-0.101043364864352
0.000152627480279256,-0.101043398894995
0.000153330567304569,-0.101043433245196
0.000154036893139592,-0.101043467917823
0.000154746472704083,-0.101043502915968
0.000155459320986529,-0.10104353824303
0.000156175453044463,-0.101043573901746
0.000156894884004779,-0.101043609895513
0.000157617629064055,-0.101043646227372
0.000158343703488876,-0.101043682900629
0.000159073122616147,-0.10104371991871
0.00015980590185343,-0.101043757284699
0.000160542056679258,-0.101043795002099
0.000161281602643469,-0.101043833074047
0.000162024555367532,-0.101043871504095
0.000162770930544876,-0.101043910295629
0.000163520743941224,-0.101043949452161
0.000164274011394923,-0.101043988976978
0.000165030748817284,-0.101044028874017
0.000165790972192909,-0.101044069146376
0.000166554697580038,-0.101044109798046
0.000167321941110883,-0.10104415083239
0.00016809271899197,-0.101044192253181
0.00016886704750448,-0.101044234064233
0.000169644943004596,-0.101044276269133
0.000170426421923846,-0.101044318871749
0.00017121150076945,-0.101044361875872
0.000172000196124671,-0.101044405285276
0.000172792524649162,-0.101044449103997
0.000173588503079322,-0.101044493335998
0.000174388148228644,-0.101044537984941
0.000175191476988075,-0.101044583055333
0.000175998506326372,-0.10104462855083
0.000176809253290458,-0.101044674475652
0.000177623735005784,-0.101044720834032
0.000178441968676691,-0.101044767630091
0.000179263971586772,-0.101044814867898
0.000180089761099238,-0.101044862551912
0.000180919354657285,-0.101044910686421
0.000181752769784461,-0.101044959275636
0.000182590024085038,-0.101045008324021
0.000183431135244384,-0.101045057836083
0.000184276121029334,-0.101045107816083
0.000185124999288568,-0.101045158268908
0.000185977787952986,-0.101045209198809
0.000186834505036089,-0.10104526061051
0.000187695168634356,-0.101045312508884
0.000188559796927631,-0.101045364898195
0.000189428408179503,-0.101045417783492
0.000190301020737693,-0.101045471169548
0.000191177653034444,-0.101045525061265
0.000192058323586905,-0.101045579463563
0.000192943050997527,-0.101045634381058
0.000193831853954455,-0.101045689819191
0.00019472475123192,-0.101045745782691
0.000195621761690639,-0.101045802277123
0.000196522904278212,-0.101045859307101
0.00019742819802952,-0.101045916878037
0.000198337662067133,-0.101045974995352
0.000199251315601707,-0.101046033664205
0.000200169177932395,-0.101046092889877
0.00020109126844725,-0.101046152678077
0.000202017606623641,-0.101046213033936
