"Freq [GHz]","B1 []","K []"
0.1,0.001579905423581,455.249383186654
0.104666666666667,0.00181603753301807,352.416431444469
0.109333333333333,0.0020867350646534,277.312732832536
0.114,0.00239516108353577,221.994659424529
0.118666666666667,0.00273975779525748,179.65114839007
0.123333333333333,0.00312397210221771,146.880900132852
0.128,0.00355185606731978,121.183776364756
0.132666666666667,0.00402741680171192,101.482289330412
0.137333333333333,0.0045704931584849,86.2728102325013
0.142,0.00517492007883613,73.9487623246904
0.146666666666667,0.00584374909976126,63.8624404005204
0.151333333333333,0.00658494493676143,55.438340016878
0.156,0.00740537520708284,48.3287648664837
0.160666666666667,0.00831498538114428,42.398978952489
0.165333333333333,0.00933324846843275,37.4656228035508
0.17,0.0104537980565738,33.2669798775137
0.174666666666667,0.0116846009132301,29.7481060436597
0.179333333333333,0.0130340095278723,26.7982483727196
0.184,0.0145108018537049,24.2387818805701
0.188666666666667,0.0161379925779807,22.0287735200173
0.193333333333333,0.0179241272043094,20.1051753425972
0.198,0.0198693042193325,18.4098293208743
0.202666666666667,0.0219849839982614,16.8632013641608
0.207333333333333,0.0242817395524967,15.4602709538748
0.212,0.0267695661031284,14.213953924013
0.216666666666667,0.0294858387112782,13.1303124441428
0.221333333333333,0.0324207488279219,12.1946408316295
0.226,0.0355831606967278,11.3521131998371
0.230666666666667,0.0389844766738505,10.5913687080333
0.235333333333333,0.0426360999390845,9.90268487347176
0.24,0.0465571389075253,9.27978467755871
0.244666666666667,0.0507769753636841,8.7189307983778
0.249333333333333,0.055283370457229,8.2070155454015
0.254,0.0600277475022001,7.744440093769
0.258666666666667,0.0650588971184048,7.32231223447473
0.263333333333333,0.0703949532939829,6.95201395956765
0.268,0.076065956618401,6.61307874147403
0.272666666666667,0.0820768955894343,6.30149794191934
0.277333333333333,0.088421782434673,6.01282686310557
0.282,0.0951085540201857,5.74502109471673
0.286666666666667,0.102144637938142,5.49626195107637
0.291333333333333,0.109536912740071,5.26492804773869
0.296,0.117325074639892,5.05218020647487
0.300666666666667,0.125482704095076,4.85147257744648
0.305333333333333,0.133988220443321,4.65816179269303
0.31,0.142857988246984,4.47858787283622
0.314666666666667,0.152093131181444,4.31053462408569
0.319333333333333,0.161702506001163,4.15361538314479
0.324,0.171702934934136,4.00786500346893
0.328666666666667,0.182066508849569,3.87103123393361
0.333333333333333,0.192790324810257,3.74248312138998
0.338,0.203870550613859,3.62164585071265
0.342666666666667,0.215302441187651,3.50799506437615
0.347333333333333,0.227097278378205,3.40563398420613
0.352,0.239236740663463,3.31006744601096
0.356666666666667,0.251700709946562,3.2181061970424
0.361333333333333,0.264490844159669,3.13106950251044
0.366,0.277598679932935,3.04866758496771
0.370666666666667,0.291015058713607,2.97063327546016
0.375333333333333,0.304753514827122,2.89760433326155
0.38,0.318781107457677,2.82845983291765
0.384666666666667,0.333084801214258,2.76292181422587
0.389333333333333,0.347651271387898,2.70250674344042
0.394,0.362468181455295,2.64686651465145
0.398666666666667,0.377529476116761,2.59426983025584
0.403333333333333,0.392640561097153,2.54258706585632
0.408,0.407865247428887,2.49255075955585
0.412666666666667,0.423261729404042,2.44496880902105
0.417333333333333,0.43881612111785,2.39972267020037
0.422,0.454514516287002,2.35670159308933
0.426666666666667,0.470348436471105,2.31614495741658
0.431333333333333,0.48629929131521,2.27850213451678
0.436,0.502347082472245,2.24421107792312
0.440666666666667,0.518481623033797,2.21158793981776
0.445333333333333,0.53468955194476,2.18056641112929
0.45,0.550957737189003,2.1510842518501
0.454666666666667,0.567269380536063,2.12160406796536
0.459333333333333,0.583615535156173,2.09354318370557
0.464,0.599983935619748,2.06681994088309
0.468666666666667,0.616362674484329,2.04138701033789
0.473333333333333,0.632739361063715,2.01737998500893
0.478,0.649094911502824,1.99599203422449
0.482666666666667,0.665419391577959,1.97594050765803
0.487333333333333,0.6817075941215,1.95690886042716
0.492,0.697949290839888,1.93886944914877
0.496666666666667,0.714134577322835,1.92179635906949
0.501333333333333,0.730186291261307,1.90480674921029
0.506,0.745979921455213,1.88672590776683
0.510666666666667,0.761675813809509,1.86956332881223
0.515333333333333,0.777271784117511,1.85316699784693
0.52,0.792751168992555,1.83850730688431
0.524666666666667,0.808113477291073,1.82458843739509
0.529333333333333,0.823351789532917,1.81131131720131
0.534,0.838437067851487,1.79891151670836
0.538666666666667,0.853381492306108,1.78712529801025
0.543333333333333,0.868179370090391,1.77592317597135
0.548,0.882823844130904,1.76529197415059
0.552666666666667,0.897308143098761,1.75521918292911
0.557333333333333,0.911617710156235,1.74575817271961
0.562,0.925724331472705,1.73757552285435
0.566666666666667,0.939646193506814,1.73008013209379
0.571333333333333,0.953379575289717,1.72304934520865
0.576,0.966917611519561,1.71647633982874
0.580666666666667,0.980253277971525,1.71035470318797
0.585333333333333,0.993359407298788,1.70480327083048
0.59,1.00623573785773,1.69976332783061
0.594666666666667,1.01888691078321,1.69515062248595
0.599333333333333,1.03130482611827,1.69096071795958
0.604,1.04310778116975,1.68477855503404
0.608666666666667,1.05459458075254,1.6787541957934
0.613333333333333,1.06579169881193,1.67322446661977
0.618,1.07672316648383,1.66801734955681
0.622666666666667,1.08738225175707,1.66311966049983
0.627333333333333,1.09775996315745,1.65852707257296
0.632,1.10784668335014,1.65423545062446
0.636666666666667,1.11762146823248,1.6502869213702
0.641333333333333,1.12705796745266,1.64674180194875
0.646,1.13616439650598,1.64364248174266
0.650666666666667,1.14492220331969,1.64110381901179
0.655333333333333,1.1533292903773,1.63882143827104
0.66,1.16137118638653,1.63679356521667
