"Freq [GHz]","dB(S(Port3,Port3)) []","dB(S(Port4,Port3)) []","dB(S(Port4,Port4)) []","dB(S(Port3,Port4)) []"
0.1,-0.00200539523450798,-66.6853803064487,-0.00300052136080226,-121.251438637443
0.104666666666667,-0.00223161285409286,-64.667453731209,-0.00342442598511932,-118.910812414318
0.109333333333333,-0.00246992042780427,-62.7473010769106,-0.00391007830757416,-116.66558542832
0.114,-0.00271968056404727,-60.9282525606606,-0.00446302871646759,-114.523532846256
0.118666666666667,-0.00298074462985659,-59.1931337228347,-0.00507837260276489,-112.463533950275
0.123333333333333,-0.00325244734550528,-57.5386265505561,-0.00576210455780247,-110.479514489162
0.128,-0.00353442486159778,-55.9563350076982,-0.00652145171167163,-108.564360866652
0.132666666666667,-0.00384978867196265,-54.4427978413994,-0.00736350112240858,-106.714591930879
0.137333333333333,-0.00419359389816412,-52.9927613844037,-0.00833011249885276,-104.92532224123
0.142,-0.00455366212628614,-51.6022038864882,-0.00940584633125895,-103.197175557643
0.146666666666667,-0.00492955564573111,-50.2683465242914,-0.010595456100881,-101.528893528214
0.151333333333333,-0.00532302708464879,-48.9623129861784,-0.0119146907544755,-99.9203085927132
0.156,-0.00573642288028542,-47.6510810503403,-0.0133772940433814,-98.3905251021547
0.160666666666667,-0.00616756261781522,-46.386668772157,-0.015002712009168,-96.9047704885779
0.165333333333333,-0.00661658296493387,-45.1667457716152,-0.0168321428035854,-95.4605872841541
0.17,-0.00708362495210329,-43.9886641935967,-0.0188493641919169,-94.0551932787572
0.174666666666667,-0.00758741542960166,-42.8503258665166,-0.0210700359364461,-92.6863480781463
0.179333333333333,-0.00813643782086955,-41.7498089855718,-0.0235107064526408,-91.3519791246251
0.184,-0.008710158223698,-40.6853417585715,-0.0261888405562787,-90.0501546102277
0.188666666666667,-0.00930904435785515,-39.6555985261169,-0.0291541418334841,-88.7793787850718
0.193333333333333,-0.00993356371499358,-38.6590532039375,-0.0324240169686587,-87.5379444981452
0.198,-0.0105841812096362,-37.6941689573209,-0.0359968727765444,-86.3241218682473
0.202666666666667,-0.0112643791365885,-36.7264804129474,-0.0398972788002602,-85.1443052239868
0.207333333333333,-0.0119748183816582,-35.7622967692332,-0.0441478098742499,-83.9962677391208
0.212,-0.012714001953388,-34.8251986500639,-0.0487696852387371,-82.8732253711343
0.216666666666667,-0.0134947349190483,-33.9146405788033,-0.0538478611778235,-81.7745534335292
0.221333333333333,-0.0143435370602154,-33.0292522883453,-0.0593595569540877,-80.6987985531807
0.226,-0.0152279335849171,-32.1680360052722,-0.0653246476807986,-79.6448756823337
0.230666666666667,-0.0161485831878729,-31.3301592227841,-0.0717695812875698,-78.6118605755083
0.235333333333333,-0.0171061015957949,-30.5148497237091,-0.0787213732599695,-77.598884490056
0.24,-0.0181010273866463,-29.7215322682725,-0.08622591752797,-76.6052705221551
0.244666666666667,-0.0191337956385126,-28.9498448233222,-0.0943546440398705,-75.6305494516715
0.249333333333333,-0.0202049488749956,-28.1987304079124,-0.103081108409404,-74.6735511670874
0.254,-0.0213073735690746,-27.4441745232762,-0.112298814870063,-73.7743459943475
0.258666666666667,-0.0224496792926347,-26.7045252184178,-0.122121738056582,-72.8988941078661
0.263333333333333,-0.023682986418849,-25.9831234369109,-0.132597117055751,-72.0398756442153
0.268,-0.024958351777861,-25.2796890499687,-0.143802632465145,-71.1969562537908
0.272666666666667,-0.026275903047342,-24.5935976419858,-0.155756929257087,-70.3694548536095
0.277333333333333,-0.0276357761017902,-23.9240888164233,-0.168452042974734,-69.5565517836449
0.282,-0.0290379703408093,-23.2706943615374,-0.181915331970033,-68.7577168114025
0.286666666666667,-0.0304824309638986,-22.6329728740047,-0.196174100168025,-67.9724435816915
0.291333333333333,-0.0319690554748448,-22.010508134117,-0.211255550646966,-67.2002478040427
0.296,-0.0334974654940727,-21.4035148404799,-0.227274286416755,-66.4412727843509
0.300666666666667,-0.0350719948782182,-20.8055095221825,-0.244178936690177,-65.6953761154898
0.305333333333333,-0.0367735442687283,-20.1881824207394,-0.261953202205935,-64.9670497243224
0.31,-0.0385311485830907,-19.5843556724671,-0.28063283798851,-64.2511801861982
0.314666666666667,-0.0403367667093417,-18.9936654769482,-0.300237634562267,-63.5473794609957
0.319333333333333,-0.0421899544256957,-18.4159492973725,-0.320810942998353,-62.8554599457206
0.324,-0.0440901794726891,-17.8512285213082,-0.342421560346526,-62.175417097079
0.328666666666667,-0.0460371982535862,-17.2986742972548,-0.36501396125936,-61.5063952276006
0.333333333333333,-0.0480305819356383,-16.7579881931829,-0.388603294622917,-60.8480681213602
0.338,-0.0500699178775972,-16.2288828471069,-0.413203512449316,-60.200119639171
0.342666666666667,-0.0521548300019501,-15.7110812550833,-0.438827352367493,-59.5622429584576
0.347333333333333,-0.0543371440843407,-15.2048154434742,-0.465543303117607,-58.9346391944446
0.352,-0.0565694287407837,-14.709636174531,-0.493321016093508,-58.3174095047136
0.356666666666667,-0.0588160524846828,-14.2248146136213,-0.522123156617035,-57.7100404493008
0.361333333333333,-0.0611046409941079,-13.7500773212041,-0.551993015992446,-57.1114714126651
0.366,-0.0634348659863688,-13.2851868663563,-0.582938428169308,-56.5214318837824
0.370666666666667,-0.0658065570449242,-12.8299132129266,-0.614966162291888,-55.9396574916156
0.375333333333333,-0.0682201347004947,-12.3847034835169,-0.648166335299563,-55.3665597045223
0.38,-0.0706756820764242,-11.9487220747204,-0.682466503483773,-54.8012658767146
0.384666666666667,-0.0731737112447336,-11.5217036732345,-0.717863310529576,-54.2434721910548
0.389333333333333,-0.0757583416507605,-11.1035072546179,-0.754359369645562,-53.692997579594
0.394,-0.07843466613255,-10.6939353215352,-0.791956737377922,-53.1496028782961
0.398666666666667,-0.0811622312959824,-10.2929216965539,-0.830677458739956,-52.6131785305766
0.403333333333333,-0.0839440813582586,-9.88290425665565,-0.870027253624113,-52.0991173429472
0.408,-0.0867756353448361,-9.47360723439829,-0.910180916140253,-51.5981262262184
0.412666666666667,-0.0896576296216883,-9.0718913121686,-0.951330719998347,-51.1039872124496
0.417333333333333,-0.0925921668971499,-8.67756215414558,-0.993469264409574,-50.616491942024
0.422,-0.0955817840075616,-8.29042977706459,-1.03658876497192,-50.1354360104735
0.426666666666667,-0.0986310989489609,-7.91074009011428,-1.08071816854486,-49.661050493157
0.431333333333333,-0.101774205321378,-7.53820669537614,-1.12583544272198,-49.1930337297468
0.436,-0.105055955737075,-7.17241288172315,-1.17190760795245,-48.7309533013948
0.440666666666667,-0.108413808492814,-6.81308940167709,-1.21892545693441,-48.2745237900351
0.445333333333333,-0.111853317624612,-6.46006636600148,-1.26688089434806,-47.8235586545468
0.45,-0.115380744316793,-6.11317763996278,-1.31576615786971,-47.3778746076607
0.454666666666667,-0.118919469678721,-5.77139321831694,-1.36555751527382,-46.9364948319896
0.459333333333333,-0.122551468367796,-5.43535240351021,-1.41626222475003,-46.5000043635296
0.464,-0.126284360440428,-5.10484999270464,-1.46787116637718,-46.0681801552684
0.468666666666667,-0.130126947984136,-4.77973153615575,-1.52037880628425,-45.6408493646505
0.473333333333333,-0.134102393303758,-4.45986349892589,-1.57378118988004,-45.2178594924697
0.478,-0.138314876588862,-4.14540228468984,-1.62808419848604,-44.7993473826564
0.482666666666667,-0.1426811272745,-3.83638319873949,-1.68328598876251,-44.3853281599888
0.487333333333333,-0.147209623323349,-3.53215459254663,-1.73937186854052,-43.9751293480052
0.492,-0.151915050657962,-3.23257848554126,-1.79634257028704,-43.5685914626879
0.496666666666667,-0.156813504598003,-2.93752005108392,-1.85420054858567,-43.1655574688005
0.501333333333333,-0.161844164926646,-2.6418139878567,-1.91263646198286,-42.7717430344302
0.506,-0.166885427029833,-2.33806473934838,-1.97112104764481,-42.396452522115
0.510666666666667,-0.172132314944903,-2.03850794518972,-2.03040828918873,-42.0248545669835
0.515333333333333,-0.17759765068176,-1.74275144280491,-2.09050574431086,-41.6565492443459
0.52,-0.183426969532066,-1.4508282276354,-2.15143209595916,-41.2915616069014
0.524666666666667,-0.18952915397943,-1.16247739873226,-2.21318602792018,-40.9296226246777
0.529333333333333,-0.195915779810499,-0.877569552781213,-2.27577720760984,-40.5705945731813
0.534,-0.20262395917104,-0.596599963586611,-2.33918087810261,-40.2149642067725
0.538666666666667,-0.20966730536686,-0.318874535917078,-2.40344318203146,-39.862028706158
0.543333333333333,-0.217072305343225,-0.0442477389492921,-2.46858483403215,-39.5116336052244
0.548,-0.224868443214556,0.227385901290249,-2.53462746052783,-39.1636642766013
0.552666666666667,-0.233087583760867,0.496129034022551,-2.60159597295726,-38.8180086924026
0.557333333333333,-0.24176928845383,0.76190649658331,-2.66949995877251,-38.4747324039019
0.562,-0.251079288964615,1.02440559716864,-2.73835719589128,-38.1341382510175
0.566666666666667,-0.260975930612867,1.28426077820278,-2.80824176520667,-37.7955816908497
0.571333333333333,-0.271461216179338,1.54161217932614,-2.87918841881725,-37.4589122262532
0.576,-0.282582770779525,1.79654709985106,-2.95124304990685,-37.1240319345811
0.580666666666667,-0.294392151915571,2.0491496828951,-3.02445673233382,-36.7908457743713
0.585333333333333,-0.306959347499976,2.29913003813068,-3.09882516785129,-36.4596324530169
0.59,-0.320340883625849,2.54671246059745,-3.17442934705991,-36.1301561979532
0.594666666666667,-0.334593892187228,2.79220378992439,-3.25137554580394,-35.8020983869917
0.599333333333333,-0.349789596070221,3.03567392915194,-3.32974023212459,-35.4753770185867
0.604,-0.365284522063815,3.28447400639352,-3.40682505239218,-35.1579846657618
0.608666666666667,-0.38170316337793,3.53255549945297,-3.48481516305466,-34.8434692212183
0.613333333333333,-0.399186585789549,3.77829692383925,-3.56409886422462,-34.5309110013855
0.618,-0.417790894593636,4.02228878535517,-3.64487954710157,-34.2197141873055
0.622666666666667,-0.437600660052831,4.2646128854273,-3.72726156563495,-33.9097915560055
0.627333333333333,-0.458708687550904,4.50531863077188,-3.81135210530644,-33.6010881678517
