"Freq [GHz]","abs(B1) []","K []"
0.1,0.000394014202174331,2.04055137188028
0.107,0.000546194452816451,1.94600337943021
0.114,0.000743466478837163,1.86016402234316
0.121,0.000995525859942781,1.78045638045135
0.128,0.00131343961386332,1.70009468823866
0.135,0.0017097114186353,1.6201051988317
0.142,0.00219783455212275,1.54170310419555
0.149,0.00279140849681814,1.46225935909122
0.156,0.00351285767639409,1.41596066138536
0.163,0.00437834372082824,1.37886021796648
0.17,0.00540741934073652,1.34593086368186
0.177,0.00662161496115732,1.31676749039699
0.184,0.00804390587934722,1.29104525839847
0.191,0.00969864125123165,1.26850608096757
0.198,0.0116114502798803,1.24894861948482
0.205,0.0138130731980775,1.22928531188474
0.212,0.0163300996619848,1.2108510690053
0.219,0.0191896540729976,1.19460487581864
0.226,0.0224207270619063,1.18040498750874
0.233,0.0260525354711081,1.16813565260434
0.24,0.030114244160201,1.15770403704856
0.247,0.0346346729018558,1.14903788122756
0.254,0.0395977336714395,1.14234880523234
0.261,0.0450261941435709,1.13725540859771
0.268,0.0509741151510716,1.13344344520149
0.275,0.0574653566352189,1.13088145679166
0.282,0.064522533723489,1.12954790815372
0.289,0.0721668269659129,1.12943068148768
0.296,0.0804178062443794,1.13052675834182
0.303,0.089281519138718,1.13135943135085
0.31,0.0987522796140523,1.13118158857405
0.317,0.108847072257705,1.13184773161078
0.324,0.119570183733103,1.13333884260965
0.331,0.130922927967623,1.135640455517
0.338,0.142903625087312,1.13874239677892
0.345,0.155507618143888,1.14263858677047
0.352,0.168720747630444,1.14604109669387
0.359,0.182525290193177,1.14696374159171
0.366,0.196927066074595,1.1485879458883
0.373,0.211911802710727,1.15091506936375
0.38,0.227462814890823,1.15394967810348
0.387,0.243561166423189,1.15769956061143
0.394,0.26018584938242,1.16217578158737
0.401,0.277271865749391,1.16721358065332
0.408,0.2945570331431,1.17177978071637
0.415,0.312246420302275,1.17683792383008
0.422,0.330311178422122,1.1823880169263
0.429,0.348721688954332,1.18843158463851
0.436,0.367447765700581,1.19497164813206
0.443,0.386458844527159,1.20201271574649
0.45,0.405724158142979,1.20956078508427
0.457,0.425188202530958,1.21514142013066
0.464,0.444844735402999,1.22119850392148
0.471,0.464663153433143,1.22773960206649
0.478,0.484613104621209,1.23477369267787
0.485,0.504664560233011,1.24231120697503
0.492,0.524787863025661,1.25036408066371
0.499,0.544953750619048,1.25894581662038
0.506,0.564889633315056,1.26467824470167
0.513,0.584758004972364,1.27017819254895
0.52,0.604571325928229,1.275996616694
0.527,0.62430283760401,1.28213631913619
0.534,0.643926150049511,1.28860072106337
0.541,0.66341516263253,1.29539386620508
0.548,0.682743964275755,1.30252042727523
0.555,0.701886712826049,1.30998571550163
0.562,0.720817493069847,1.31779569326825
0.569,0.739510152855648,1.32595698992498
0.576,0.757938116769734,1.33447692084865
0.583,0.776074176860004,1.34336350986829
0.59,0.793890260049043,1.35262551519894
0.597,0.811357172166206,1.3622724590601
0.604,0.828112956007926,1.36988009892062
0.611,0.844207097297123,1.37593317719744
0.618,0.859859039853203,1.38222459419581
0.625,0.875039306680229,1.38875718354974
0.632,0.889716655085874,1.39553411499607
0.639,0.9038578432839,1.40255889905016
0.646,0.917427409471717,1.40983539290049
0.653,0.930387473852215,1.41736780753898
0.66,0.942697577291895,1.42516071615243
0.667,0.954314574225812,1.43321906380853
0.674,0.965192602071168,1.44154817847894
0.681,0.975283154774928,1.4501537834505
0.688,0.984535294078495,1.45904201118539
0.695,0.992896038366555,1.46821941870068
0.702,1.00011553953173,1.47670719327667
0.709,1.00587791503457,1.48294927125777
0.716,1.01064516231411,1.48936627160625
0.723,1.01437832844964,1.49596015359438
0.73,1.01704260721021,1.50273305677255
0.737,1.01860920424545,1.50968730335255
0.744,1.01905749459282,1.51682540107226
0.751,1.01837744034072,1.52415004654745
0.758,1.01657220353582,1.53166412911888
0.765,1.01366084973091,1.5393707352055
0.772,1.00968099314691,1.54727315317674
0.779,1.00469118944736,1.55537487875974
0.786,0.998772842940582,1.56367962099989
0.793,0.992031369911952,1.57219130879572
0.8,0.984596358065158,1.58091409803213
0.807,0.977460781770761,1.58692778946444
0.814,0.969842783054499,1.59309468929317
0.821,0.961898663485964,1.59941701659345
0.828,0.953797071628913,1.60589711572809
0.835,0.945714220552998,1.61253745905598
0.842,0.937828378762566,1.6193406499047
0.849,0.930313977321169,1.62630942581443
0.856,0.923335735385624,1.63344666206161
0.863,0.917043220485103,1.64075537547176
0.87,0.911566224362504,1.64823872853199
0.877,0.90701125455485,1.65590003381488
0.884,0.903459328679238,1.66374275872689
0.891,0.900965130399238,1.67177053059527
0.898,0.899557462347067,1.67998714210954
0.905,0.89878056336708,1.68569562964756
0.912,0.898828933625964,1.69044248093512
0.919,0.89984651059666,1.69529640059609
0.926,0.901791047744978,1.70025851837153
0.933,0.904609793830843,1.70533002840554
0.94,0.908242231088448,1.71051219018499
0.947,0.912622622384428,1.71580632958212
0.954,0.917682287290731,1.7212138400019
0.961,0.923351560864624,1.7267361836359
0.968,0.929561417694921,1.73237489282492
0.975,0.936244766324211,1.73813157153287
0.982,0.943337435354041,1.74400789693493
0.989,0.950778882925196,1.75000562112304
0.996,0.958512666765285,1.75612657293232
1.003,0.966341614720471,1.76212606153529
1.01,0.974148433471245,1.7679013596379
1.017,0.982078563472687,1.77377357568604
1.024,0.990097388484277,1.77974390321531
1.031,0.998174058731985,1.78581358547216
1.038,1.00628125542871,1.79198391635221
1.045,1.01439493565157,1.79825624140495
1.052,1.0224940688852,1.80463195890655
1.059,1.03056037380211,1.81111252100226
1.066,1.03857806156514,1.81769943492056
1.073,1.04653359007154,1.82439426426105
1.08,1.05441543206806,1.83119863035829
1.087,1.06221385890145,1.83811421372418
1.094,1.06992074077705,1.84514275557149
1.101,1.07744618937764,1.85179437891295
1.108,1.08437809472865,1.85559125723913
1.115,1.09121799986097,1.8594686433604
1.122,1.09796236334419,1.86342739777224
1.129,1.10460842215958,1.86746841432277
1.136,1.11115409535621,1.87159262079291
1.143,1.1175978977014,1.87580097951351
1.15,1.12393886253501,1.88009448802059
1.157,1.13017647304227,1.88447417974924
1.164,1.13631060118298,1.88894112476743
1.171,1.14234145355076,1.89349643055065
1.178,1.14826952347907,1.89814124279853
1.185,1.15409554875823,1.9028767462948
1.192,1.15982047437714,1.90770416581169
1.199,1.16544541975266,1.91262476706049
1.206,1.17055949112646,1.91709746071913
1.213,1.1755103856202,1.92155331825388
1.22,1.18036867552117,1.9260818252908
1.227,1.18513607339895,1.93068377806032
1.234,1.18981432185,1.93535999883209
1.241,1.19440518310947,1.94011133639915
1.248,1.19891043010275,1.94493866658705
1.255,1.20333183876207,1.94984289278839
1.262,1.2076711814536,1.95482494652355
1.269,1.21193022137838,1.95988578802841
1.276,1.21611070782649,1.96502640686954
1.283,1.22021437217786,1.97024782258795
1.29,1.22424292455591,1.97555108537217
1.297,1.22819805105126,1.98093727676146
1.304,1.23194473113305,1.98366889548985
1.311,1.23552095059398,1.98440643887076
1.318,1.23903128835932,1.9851972447482
1.325,1.24247717479333,1.98604145508914
1.332,1.24586001868875,1.98693922459609
1.339,1.24918120594253,1.98789072078131
1.346,1.25244209848982,1.98889612405015
1.353,1.2556440334644,1.98995562779373
1.36,1.25878832255724,1.99106943849095
1.367,1.26187625154794,1.99223777581991
1.374,1.26490907998701,1.99346087277885
1.381,1.2678880410092,1.99473897581669
1.388,1.27081434126034,1.99607234497333
1.395,1.27368916092259,1.99746125402975
1.402,1.27645980198517,1.99872837726716
1.409,1.27905161501805,1.99960371511391
1.416,1.28160294042344,2.00052945204168
1.423,1.2841146363203,2.00150590498153
1.43,1.28658754033528,2.00253340307698
1.437,1.28902246997778,2.00361228784952
1.444,1.29142022302983,2.00474291337271
1.451,1.29378157794743,2.00592564645503
1.458,1.29610729427035,2.00716086683172
1.465,1.29839811303768,2.00844896736576
1.472,1.30065475720695,2.00979035425815
1.479,1.30287793207476,2.01118544726782
1.486,1.30506832569732,2.01263467994128
1.493,1.30722660930931,2.01413849985227
1.5,1.30935343773989,2.01569736885178
