"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port2,Port2)) []","dB(S(Port1,Port2)) []"
1.08,-5.27704325961816,9.27067429055507,-9.96373780693213,-23.1156029085605
1.087,-5.10778155841044,9.13747966449708,-9.84114962234864,-23.1750826524068
1.094,-4.94898546496108,9.00453860434492,-9.72728482878376,-23.2339308786262
1.101,-4.79964094782221,8.87364872547735,-9.62026247715209,-23.2912098824748
1.108,-4.6582708038364,8.75354602944662,-9.51374232095993,-23.3425846106896
1.115,-4.5249733170996,8.63385201823344,-9.41423248719222,-23.3932953472801
1.122,-4.39912426880844,8.51460846596374,-9.32120123245757,-23.4432967050607
1.129,-4.28015939922293,8.3958499120919,-9.23416425461578,-23.4925504714324
1.136,-4.16756752888315,8.27760443366686,-9.15267986185322,-23.5410248346568
1.143,-4.06088460146006,8.15989434338917,-9.07634468242314,-23.5886936842951
1.15,-3.95968850628614,8.04273681946473,-9.00478985174538,-23.6355359798064
1.157,-3.86359456338522,7.92614447301625,-8.93767762060095,-23.6815351815416
1.164,-3.77225157377007,7.81012585851322,-8.87469833468843,-23.7266787386702
1.171,-3.68533835393394,7.69468593234979,-8.81556774173945,-23.7709576289098
1.178,-3.60256068661984,7.57982646435065,-8.76002458770182,-23.8143659452759
1.185,-3.52364863072232,7.46554640663218,-8.70782846821058,-23.8569005254217
1.192,-3.44835414203858,7.351842223898,-8.65875790572106,-23.8985606194892
1.199,-3.3764489639123,7.23870818891016,-8.61260862632389,-23.9393475927258
1.206,-3.31284479254896,7.1357436260731,-8.57263269393993,-23.9764517144731
1.213,-3.25276663269874,7.03501455571907,-8.53545797780401,-24.0122277374911
1.22,-3.19518084657997,6.934913580732,-8.5003475519862,-24.0471544012356
1.227,-3.1399440511941,6.83542727034935,-8.46717444121465,-24.0812421597414
1.234,-3.0869231704539,6.73654146941158,-8.43582068698134,-24.1145021454949
1.241,-3.03599455341194,6.63824141191303,-8.40617660738973,-24.1469460548355
1.248,-2.9870431796098,6.54051182147871,-8.37814012578196,-24.1785860464019
1.255,-2.93996194179542,6.44333700015058,-8.35161616106663,-24.2094346512393
1.262,-2.89465099747714,6.34670090672378,-8.32651607345913,-24.2395046933259
1.269,-2.85101718183488,6.25058722574352,-8.30275716004343,-24.2688092194061
1.276,-2.80897347541656,6.15497942815762,-8.28026219517907,-24.2973614371352
1.283,-2.76843852083458,6.05986082451495,-8.25895901131909,-24.3251746606445
1.29,-2.72933618335846,5.96521461150667,-8.23878011628369,-24.3522622627269
1.297,-2.69159515089357,5.87102391256282,-8.21966234345771,-24.3786376329318
1.304,-2.65417488874015,5.7842254203137,-8.19963315064541,-24.3992222535515
1.311,-2.61726902352215,5.70309215963302,-8.17908290785233,-24.415384767801
1.318,-2.58155286632366,5.62240359282225,-8.15938924512758,-24.4309772315073
1.325,-2.54697145016012,5.54214726937351,-8.14050709148416,-24.4460098985458
1.332,-2.51347299297944,5.46231072809243,-8.12239402860427,-24.4604930104755
1.339,-2.48100867744833,5.3828815186367,-8.10501011314029,-24.474436774468
1.346,-2.44953244830583,5.30384722032916,-8.08831771240344,-24.4878513439486
1.353,-2.41900082570275,5.22519545852369,-8.07228135232922,-24.500746801675
1.36,-2.3893727331038,5.14691391877387,-8.05686757670805,-24.5131331449986
1.367,-2.36060933846994,5.06899035903038,-8.04204481675937,-24.5250202730864
1.374,-2.33267390756387,4.9914126200694,-8.02778327020877,-24.5364179758975
1.381,-2.30553166833382,4.91416863433515,-8.01405478910256,-24.5473359247327
1.388,-2.27914968543076,4.83724643336076,-8.00083277565976,-24.5577836641919
1.395,-2.25349674400352,4.76063415391547,-7.98809208552378,-24.5677706053904
1.402,-2.22869495307885,4.6854834808112,-7.97519382089037,-24.5775108819439
1.409,-2.20492857198771,4.61352446195449,-7.96124656598075,-24.5873307121361
1.416,-2.1817842436989,4.54183573900399,-7.94779484650856,-24.5967320068467
1.423,-2.1592379330856,4.47040680368771,-7.93481615330728,-24.6057231359065
1.43,-2.13726677839172,4.39922726187116,-7.92228911927394,-24.6143123291287
1.437,-2.1158490225958,4.32828683483939,-7.91019345296711,-24.6225076744756
1.444,-2.09496394941889,4.25757536002158,-7.89850987659307,-24.6303171167703
1.451,-2.07459182362142,4.18708279121859,-7.88722006805644,-24.6377484568919
1.458,-2.05471383526445,4.11679919838748,-7.87630660677799,-24.6448093513999
1.465,-2.03531204763768,4.04671476703195,-7.8657529230055,-24.651507312539
1.472,-2.01636934858162,3.9768197972424,-7.85554325036619,-24.6578497085796
1.479,-1.99786940495372,3.90710470242531,-7.84566258142871,-24.6638437644538
1.486,-1.9797966200088,3.83756000775732,-7.836096626061,-24.6694965626519
1.493,-1.96213609348287,3.76817634839595,-7.82683177238716,-24.6748150443459
1.5,-1.94487358418606,3.6989444674757,-7.81785505016159,-24.6798060107115
