"Freq [GHz]","dB(MSG) []","dB(NF) []","dB(GMAX) []"
0.1,27.2830291654971,47.1170137969977,-1.7128492855804
0.104666666666667,27.1216793415544,45.9307423297096,-0.729955432828405
0.109333333333333,26.9591421757047,44.8005078946744,0.177331390176821
0.114,26.7976401427976,43.721730978597,1.00808659516593
0.118666666666667,26.63520011372,42.6889554988975,1.78959097705525
0.123333333333333,26.470443969303,41.6987098795455,2.52314023309427
0.128,26.3040129294768,40.7476863022541,3.21436100497778
0.132666666666667,26.1358970447401,39.8331201357124,3.83802220206194
0.137333333333333,25.9662804284132,38.9533148238716,4.39057074937997
0.142,25.7974858355772,38.1051779326819,4.90682966980308
0.146666666666667,25.630273501961,37.2865997079512,5.39122819384104
0.151333333333333,25.4789978032674,36.4948794544224,5.86783381592452
0.156,25.3697220259072,35.7273832018839,6.36676082364434
0.160666666666667,25.2590508582104,34.9846903203553,6.83528975355964
0.165333333333333,25.1469207562694,34.2657022655764,7.26847399681188
0.17,25.0332645425803,33.5686460176959,7.67847237286163
0.174666666666667,24.9180111058149,32.8923992150736,8.05559347291916
0.179333333333333,24.8010850695266,32.2359057998278,8.39843320416036
0.184,24.6824064258281,31.5981241042097,8.72150655937354
0.188666666666667,24.5618901294775,30.9783861284089,9.02064514381574
0.193333333333333,24.4394456471038,30.3757743390993,9.29850939120728
0.198,24.3149764554632,29.7893233135073,9.55995717228724
0.202666666666667,24.2089124055197,29.2172242796437,9.83829303839562
0.207333333333333,24.1169854849438,28.6590558674421,10.1269394565287
0.212,24.0240133605352,28.1149931062817,10.4023958495179
0.216666666666667,23.929956427363,27.5847657639905,10.6550391230156
0.221333333333333,23.8347731324177,27.0676269956831,10.8830424023021
0.226,23.7384198385308,26.5629201777236,11.0999433454271
0.230666666666667,23.6408506763621,26.0701610048839,11.3061893076828
0.235333333333333,23.5420173831735,25.58889503176,11.502184023236
0.24,23.4418691269413,25.1187553627657,11.6870814466923
0.244666666666667,23.3403523141747,24.6594615979319,11.8588145352541
0.249333333333333,23.2374103795875,24.2104449038707,12.0215447160652
0.254,23.1650857355357,23.7704902639729,12.2052616579896
0.258666666666667,23.0971844447241,23.3399556355921,12.3854102906965
0.263333333333333,23.0283761036522,22.9188296981847,12.5465506472206
0.268,22.9586336019111,22.5067506345513,12.6983876321813
0.272666666666667,22.8879286058119,22.1033932132956,12.8418796109845
0.277333333333333,22.8162314836108,21.7084007740497,12.9788584850314
0.282,22.7435112249326,21.321516138039,13.1094583385877
0.286666666666667,22.6697353538434,20.9424952691867,13.2337945280409
0.291333333333333,22.5948698349628,20.5711064465427,13.3519642798413
0.296,22.5188789719355,20.2072796933786,13.4611865193031
0.300666666666667,22.4449332966537,19.8504739284949,13.5698511576911
0.305333333333333,22.3894336517915,19.4997099495862,13.6980872933008
0.31,22.3334122568656,19.1557583230008,13.8203571995139
0.314666666666667,22.2768569920237,18.8184087989211,13.9379486666424
0.319333333333333,22.219755324174,18.4875214075778,14.0502746871504
0.324,22.1620942878854,18.1629939699654,14.1561533321779
0.328666666666667,22.1038604651729,17.8445617368883,14.2576673815815
0.333333333333333,22.0450399640886,17.5320727902736,14.3548630293811
0.338,21.9856183960321,17.2253817883164,14.4477788060604
0.342666666666667,21.9255808516871,16.9243495995484,14.5364457028952
0.347333333333333,21.8649118754852,16.6290920456856,14.6140767062375
0.352,21.8038866650913,16.3393580308643,14.6865006613127
0.356666666666667,21.7426129178397,16.0548899101559,14.7582328670947
0.361333333333333,21.6806970457305,15.7755798299216,14.8264253267771
0.366,21.6181225087131,15.501315273747,14.8910823077516
0.370666666666667,21.5548721393445,15.2319881262601,14.9522022578132
0.375333333333333,21.4909281105027,14.9675857867231,15.0079592484871
0.38,21.4262719009971,14.7079209887428,15.0600665548682
0.384666666666667,21.3608842589101,14.452890042735,15.1086523720605
0.389333333333333,21.294745162488,14.2025468887867,15.1504154071872
0.394,21.2278337783804,13.9568101084114,15.1853877119139
0.398666666666667,21.1601284170113,13.7154710392509,15.2163999700855
0.403333333333333,21.1081065431458,13.4777890844905,15.2641265597656
0.408,21.0622594959101,13.2440245897246,15.3175850035827
0.412666666666667,21.0160479501405,13.0143769469793,15.3682637726721
0.417333333333333,20.9694648939392,12.7887710132047,15.4161555052276
0.422,20.9225031167044,12.5671340327336,15.4612501791512
0.426666666666667,20.8751552015214,12.3494401120843,15.5025910931266
0.431333333333333,20.8274135171853,12.1357029276077,15.5388274119824
0.436,20.7792702098358,11.9259549340007,15.5685710720801
0.440666666666667,20.730717194179,11.719911131383,15.595621144702
0.445333333333333,20.6817461442727,11.5175090305481,15.6199523769675
0.45,20.632348483849,11.3186878327072,15.641537661339
0.454666666666667,20.5825508068363,11.1355131131595,15.664230112356
0.459333333333333,20.5323259800097,10.9551732929431,15.6843035431531
0.464,20.4816650812819,10.7776112089637,15.7018232245173
0.468666666666667,20.4305589142474,10.6027757092738,15.7167567015893
0.473333333333333,20.3789979967719,10.4306572171252,15.7285446670566
0.478,20.3269725489833,10.261489215478,15.7334100852386
0.482666666666667,20.2744724806246,10.0949481708568,15.7347740141642
0.487333333333333,20.2214873777293,9.93094731219919,15.7335647760234
0.492,20.1680064885733,9.76944288013602,15.7297410206762
0.496666666666667,20.1140187088583,9.61039239369649,15.7232603959299
0.501333333333333,20.0649645232867,9.45356866206474,15.72241920696
0.506,20.0291938913833,9.29868315862915,15.7395227637772
0.510666666666667,19.9931733108969,9.14615061883282,15.7542853601902
0.515333333333333,19.9568989007705,8.99591408180166,15.7671641259019
